"","x"
"1","Brésil"
"2","Cambodge"
"3","Chine"
"4","Émirats arabes unis"
"5","Espagne"
"6","États−Unis"
"7","Fédération de Russie"
"8","Inde"
"9","Japon"
"10","Portugal"
"11","Royaume-Uni"
"12","Rwanda"
"13","Sierra Leone"
"14","Suisse"
"15","World"
"16","Espérance de vie"
