"","x"
"1","8 millions"
"2","0%"
"3","10%"
"4","20%"
"5","Suisse"
"6","Europe"
"7","non-européenne"
"8","travailleurs étrangers."
"9","(Allemagne, France, Italie, Autriche)"
"10","barrages et autoroutes, ainsi que construction en général)"
"11","Proportion de la population étrangère"
"12","Nationalité de la population résidente en Suisse de 1850−2009"
