"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"1974","Pologne","Total","Total","33.512.100",""
"1975","Pologne","Total","Total","33.845.698",""
"1976","Pologne","Total","Total","34.184.700",""
"1977","Pologne","Total","Total","34.527.900",""
"1978","Pologne","Total","Total","34.850.200",""
"1979","Pologne","Total","Total","35.081.000",""
"1980","Pologne","Total","Total","35.413.434",""
"1981","Pologne","Total","Total","35.734.865",""
"1982","Pologne","Total","Total","36.062.309",""
"1983","Pologne","Total","Total","36.398.652",""
"1984","Pologne","Total","Total","36.744.964",""
"1985","Pologne","Total","Total","37.063.303",""
"1986","Pologne","Total","Total","37.340.467",""
"1987","Pologne","Total","Total","37.571.771",""
"1988","Pologne","Total","Total","37.764.318",""
"1989","Pologne","Total","Total","37.884.655",""
"1990","Pologne","Total","Total","38.038.403",""
"1991","Pologne","Total","Total","38.183.160",""
"1992","Pologne","Total","Total","38.309.226",""
"1993","Pologne","Total","Total","38.418.108",""
"1994","Pologne","Total","Total","38.504.707",""
"1995","Pologne","Total","Total","38.580.597",""
"1996","Pologne","Total","Total","38.609.399",""
"1997","Pologne","Total","Total","38.639.341",""
"1998","Pologne","Total","Total","38.659.979",""
"1999","Pologne","Total","Total","38.666.983",""
"2000","Pologne","Total","Total","38.263.303","b"
"2001","Pologne","Total","Total","38.253.955",""
"2002","Pologne","Total","Total","38.242.197",""
"2003","Pologne","Total","Total","38.218.531",""
"2004","Pologne","Total","Total","38.190.608",""
"2005","Pologne","Total","Total","38.173.835",""
"2006","Pologne","Total","Total","38.157.055",""
"2007","Pologne","Total","Total","38.125.479",""
"2008","Pologne","Total","Total","38.115.641",""
"2009","Pologne","Total","Total","38.135.876",""
"2010","Pologne","Total","Total","38.167.329",""
"2011","Pologne","Total","Total","38.529.866","b"
"2012","Pologne","Total","Total","38.538.447",""
"2013","Pologne","Total","Total","38.533.299",""
"1960","Portugal","Total","Total","8.826.040",""
"1961","Portugal","Total","Total","8.889.392",""
"1962","Portugal","Total","Total","8.969.240",""
"1963","Portugal","Total","Total","9.018.730",""
"1964","Portugal","Total","Total","9.041.980",""
"1965","Portugal","Total","Total","9.028.750",""
"1966","Portugal","Total","Total","8.968.440",""
"1967","Portugal","Total","Total","8.893.540",""
"1968","Portugal","Total","Total","8.855.500",""
"1969","Portugal","Total","Total","8.817.800",""
"1970","Portugal","Total","Total","8.697.610",""
"1971","Portugal","Total","Total","8.663.252",""
"1972","Portugal","Total","Total","8.624.260",""
"1973","Portugal","Total","Total","8.636.600",""
"1974","Portugal","Total","Total","8.629.600",""
"1975","Portugal","Total","Total","8.879.130",""
"1976","Portugal","Total","Total","9.307.810",""
"1977","Portugal","Total","Total","9.403.810",""
"1978","Portugal","Total","Total","9.507.540",""
"1979","Portugal","Total","Total","9.608.960",""
"1980","Portugal","Total","Total","9.713.570",""
"1981","Portugal","Total","Total","9.819.054",""
"1982","Portugal","Total","Total","9.883.670",""
"1983","Portugal","Total","Total","9.939.871",""
"1984","Portugal","Total","Total","9.975.859",""
"1985","Portugal","Total","Total","10.016.605",""
"1986","Portugal","Total","Total","10.030.621",""
"1987","Portugal","Total","Total","10.034.846",""
"1988","Portugal","Total","Total","10.025.215",""
"1989","Portugal","Total","Total","10.014.005",""
"1990","Portugal","Total","Total","9.995.995",""
"1991","Portugal","Total","Total","9.970.441",""
"1992","Portugal","Total","Total","9.950.029",""
"1993","Portugal","Total","Total","9.954.958",""
"1994","Portugal","Total","Total","9.974.391",""
"1995","Portugal","Total","Total","10.008.659",""
"1996","Portugal","Total","Total","10.043.693",""
"1997","Portugal","Total","Total","10.084.196",""
"1998","Portugal","Total","Total","10.133.758",""
"1999","Portugal","Total","Total","10.186.634",""
"2000","Portugal","Total","Total","10.249.022",""
"2001","Portugal","Total","Total","10.330.774",""
"2002","Portugal","Total","Total","10.394.669",""
"2003","Portugal","Total","Total","10.444.592",""
"2004","Portugal","Total","Total","10.473.050",""
"2005","Portugal","Total","Total","10.494.672",""
"2006","Portugal","Total","Total","10.511.988",""
"2007","Portugal","Total","Total","10.532.588",""
"2008","Portugal","Total","Total","10.553.339",""
"2009","Portugal","Total","Total","10.563.014",""
"2010","Portugal","Total","Total","10.573.479",""
"2011","Portugal","Total","Total","10.572.721",""
"2012","Portugal","Total","Total","10.542.398",""
"2013","Portugal","Total","Total","10.487.289",""
"1960","Roumanie","Total","Total","18.319.210",""
"1961","Roumanie","Total","Total","18.494.600",""
"1962","Roumanie","Total","Total",":",""
"1963","Roumanie","Total","Total",":",""
"1964","Roumanie","Total","Total",":",""
"1965","Roumanie","Total","Total","18.979.752",""
"1966","Roumanie","Total","Total","19.083.400",""
"1967","Roumanie","Total","Total",":",""
"1968","Roumanie","Total","Total","19.720.984",""
"1969","Roumanie","Total","Total","19.878.678",""
"1970","Roumanie","Total","Total","20.139.603",""
"1971","Roumanie","Total","Total","20.361.192",""
"1972","Roumanie","Total","Total","20.561.942",""
"1973","Roumanie","Total","Total","20.753.972",""
"1974","Roumanie","Total","Total","20.917.390",""
"1975","Roumanie","Total","Total","21.141.468",""
"1976","Roumanie","Total","Total","21.445.698",""
"1977","Roumanie","Total","Total","21.657.569",""
"1978","Roumanie","Total","Total","21.854.622",""
"1979","Roumanie","Total","Total","22.048.305",""
"1980","Roumanie","Total","Total","22.132.670",""
"1981","Roumanie","Total","Total","22.281.894",""
"1982","Roumanie","Total","Total","22.424.246",""
"1983","Roumanie","Total","Total","22.527.235",""
"1984","Roumanie","Total","Total","22.593.720",""
"1985","Roumanie","Total","Total","22.687.374",""
"1986","Roumanie","Total","Total","22.778.624",""
"1987","Roumanie","Total","Total","22.895.058",""
"1988","Roumanie","Total","Total","23.003.802",""
"1989","Roumanie","Total","Total","23.111.521",""
"1990","Roumanie","Total","Total","23.211.395",""
"1991","Roumanie","Total","Total","23.192.274",""
"1992","Roumanie","Total","Total","22.810.035",""
"1993","Roumanie","Total","Total","22.778.533",""
"1994","Roumanie","Total","Total","22.748.027",""
"1995","Roumanie","Total","Total","22.712.394",""
"1996","Roumanie","Total","Total","22.656.145",""
"1997","Roumanie","Total","Total","22.581.862",""
"1998","Roumanie","Total","Total","22.526.093",""
"1999","Roumanie","Total","Total","22.488.595",""
"2000","Roumanie","Total","Total","22.455.485",""
"2001","Roumanie","Total","Total","22.430.457",""
"2002","Roumanie","Total","Total","21.833.483",""
"2003","Roumanie","Total","Total","21.627.509",""
"2004","Roumanie","Total","Total","21.521.142",""
"2005","Roumanie","Total","Total","21.382.354",""
"2006","Roumanie","Total","Total","21.257.016",""
"2007","Roumanie","Total","Total","21.130.503",""
"2008","Roumanie","Total","Total","20.635.460",""
"2009","Roumanie","Total","Total","20.440.290",""
"2010","Roumanie","Total","Total","20.294.683",""
"2011","Roumanie","Total","Total","20.199.059",""
"2012","Roumanie","Total","Total","20.095.996",""
"2013","Roumanie","Total","Total","20.020.074",""
"1960","Slovénie","Total","Total","1.580.535",""
"1961","Slovénie","Total","Total","1.588.904",""
"1962","Slovénie","Total","Total","1.599.357",""
"1963","Slovénie","Total","Total","1.607.941",""
"1964","Slovénie","Total","Total","1.626.000",""
"1965","Slovénie","Total","Total","1.638.227",""
"1966","Slovénie","Total","Total","1.660.092",""
"1967","Slovénie","Total","Total","1.679.717",""
"1968","Slovénie","Total","Total","1.699.339",""
"1969","Slovénie","Total","Total","1.709.752",""
"1970","Slovénie","Total","Total","1.717.995",""
"1971","Slovénie","Total","Total","1.731.787",""
"1972","Slovénie","Total","Total","1.744.882",""
"1973","Slovénie","Total","Total","1.759.584",""
"1974","Slovénie","Total","Total","1.773.809",""
"1975","Slovénie","Total","Total","1.778.454",""
"1976","Slovénie","Total","Total","1.808.707",""
"1977","Slovénie","Total","Total","1.831.790",""
"1978","Slovénie","Total","Total","1.852.963",""
"1979","Slovénie","Total","Total","1.872.133",""
"1980","Slovénie","Total","Total","1.893.064",""
"1981","Slovénie","Total","Total","1.909.566",""
"1982","Slovénie","Total","Total","1.903.495",""
"1983","Slovénie","Total","Total","1.917.173",""
"1984","Slovénie","Total","Total","1.927.469",""
"1985","Slovénie","Total","Total","1.936.839",""
"1986","Slovénie","Total","Total","1.946.442",""
"1987","Slovénie","Total","Total","1.985.486",""
"1988","Slovénie","Total","Total","1.994.066",""
"1989","Slovénie","Total","Total","1.996.325",""
"1990","Slovénie","Total","Total","1.996.377",""
"1991","Slovénie","Total","Total","1.999.945",""
"1992","Slovénie","Total","Total","1.998.912",""
"1993","Slovénie","Total","Total","1.994.084",""
"1994","Slovénie","Total","Total","1.989.408",""
"1995","Slovénie","Total","Total","1.989.477",""
"1996","Slovénie","Total","Total","1.990.266",""
"1997","Slovénie","Total","Total","1.986.989",""
"1998","Slovénie","Total","Total","1.984.923",""
"1999","Slovénie","Total","Total","1.978.334",""
"2000","Slovénie","Total","Total","1.987.755",""
"2001","Slovénie","Total","Total","1.990.094",""
"2002","Slovénie","Total","Total","1.994.026",""
"2003","Slovénie","Total","Total","1.995.033",""
"2004","Slovénie","Total","Total","1.996.433",""
"2005","Slovénie","Total","Total","1.997.590",""
"2006","Slovénie","Total","Total","2.003.358",""
"2007","Slovénie","Total","Total","2.010.377",""
"2008","Slovénie","Total","Total","2.010.269","b"
"2009","Slovénie","Total","Total","2.032.362",""
"2010","Slovénie","Total","Total","2.046.976",""
"2011","Slovénie","Total","Total","2.050.189",""
"2012","Slovénie","Total","Total","2.055.496",""
"2013","Slovénie","Total","Total","2.058.821",""
"1960","Slovaquie","Total","Total","3.969.682",""
"1961","Slovaquie","Total","Total","4.166.507",""
"1962","Slovaquie","Total","Total","4.216.827",""
"1963","Slovaquie","Total","Total","4.259.549",""
"1964","Slovaquie","Total","Total","4.304.484",""
"1965","Slovaquie","Total","Total","4.350.198",""
"1966","Slovaquie","Total","Total","4.391.768",""
"1967","Slovaquie","Total","Total","4.431.564",""
"1968","Slovaquie","Total","Total","4.467.170",""
"1969","Slovaquie","Total","Total","4.500.659",""
"1970","Slovaquie","Total","Total","4.536.555",""
"1971","Slovaquie","Total","Total","4.539.890",""
"1972","Slovaquie","Total","Total","4.575.007",""
"1973","Slovaquie","Total","Total","4.618.236",""
"1974","Slovaquie","Total","Total","4.664.653",""
"1975","Slovaquie","Total","Total","4.714.593",""
"1976","Slovaquie","Total","Total","4.763.617",""
"1977","Slovaquie","Total","Total","4.815.396",""
"1978","Slovaquie","Total","Total","4.865.605",""
"1979","Slovaquie","Total","Total","4.914.644",""
"1980","Slovaquie","Total","Total","4.963.301",""
"1981","Slovaquie","Total","Total","4.996.329",""
"1982","Slovaquie","Total","Total","5.035.881",""
"1983","Slovaquie","Total","Total","5.074.316",""
"1984","Slovaquie","Total","Total","5.109.626",""
"1985","Slovaquie","Total","Total","5.144.568",""
"1986","Slovaquie","Total","Total","5.178.967",""
"1987","Slovaquie","Total","Total","5.208.708",""
"1988","Slovaquie","Total","Total","5.236.972",""
"1989","Slovaquie","Total","Total","5.264.220",""
"1990","Slovaquie","Total","Total","5.287.663",""
"1991","Slovaquie","Total","Total","5.310.711",""
"1992","Slovaquie","Total","Total","5.295.877",""
"1993","Slovaquie","Total","Total","5.314.155",""
"1994","Slovaquie","Total","Total","5.336.455",""
"1995","Slovaquie","Total","Total","5.356.207",""
"1996","Slovaquie","Total","Total","5.367.790",""
"1997","Slovaquie","Total","Total","5.378.932",""
"1998","Slovaquie","Total","Total","5.387.650",""
"1999","Slovaquie","Total","Total","5.393.382",""
"2000","Slovaquie","Total","Total","5.398.657",""
"2001","Slovaquie","Total","Total","5.378.783",""
"2002","Slovaquie","Total","Total","5.378.951",""
"2003","Slovaquie","Total","Total","5.374.873",""
"2004","Slovaquie","Total","Total","5.371.875",""
"2005","Slovaquie","Total","Total","5.372.685",""
"2006","Slovaquie","Total","Total","5.372.928",""
"2007","Slovaquie","Total","Total","5.373.180",""
"2008","Slovaquie","Total","Total","5.376.064",""
"2009","Slovaquie","Total","Total","5.382.401",""
"2010","Slovaquie","Total","Total","5.390.410",""
"2011","Slovaquie","Total","Total","5.392.446",""
"2012","Slovaquie","Total","Total","5.404.322",""
"2013","Slovaquie","Total","Total","5.410.836",""
"1960","Finlande","Total","Total","4.413.046",""
"1961","Finlande","Total","Total","4.446.222",""
"1962","Finlande","Total","Total","4.475.787",""
"1963","Finlande","Total","Total","4.507.098",""
"1964","Finlande","Total","Total","4.539.519",""
"1965","Finlande","Total","Total","4.557.567",""
"1966","Finlande","Total","Total","4.569.896",""
"1967","Finlande","Total","Total","4.591.842",""
"1968","Finlande","Total","Total","4.619.645",""
"1969","Finlande","Total","Total","4.633.292",""
"1970","Finlande","Total","Total","4.614.277",""
"1971","Finlande","Total","Total","4.598.336",""
"1972","Finlande","Total","Total","4.625.912",""
"1973","Finlande","Total","Total","4.653.401",""
"1974","Finlande","Total","Total","4.678.761",""
"1975","Finlande","Total","Total","4.702.387",""
"1976","Finlande","Total","Total","4.720.492",""
"1977","Finlande","Total","Total","4.730.836",""
"1978","Finlande","Total","Total","4.746.967",""
"1979","Finlande","Total","Total","4.758.088",""
"1980","Finlande","Total","Total","4.771.292",""
"1981","Finlande","Total","Total","4.787.778",""
"1982","Finlande","Total","Total","4.812.150",""
"1983","Finlande","Total","Total","4.841.715",""
"1984","Finlande","Total","Total","4.869.858",""
"1985","Finlande","Total","Total","4.893.748",""
"1986","Finlande","Total","Total","4.910.664",""
"1987","Finlande","Total","Total","4.925.644",""
"1988","Finlande","Total","Total","4.938.602",""
"1989","Finlande","Total","Total","4.954.359",""
"1990","Finlande","Total","Total","4.974.383",""
"1991","Finlande","Total","Total","4.998.478",""
"1992","Finlande","Total","Total","5.029.002",""
"1993","Finlande","Total","Total","5.054.982",""
"1994","Finlande","Total","Total","5.077.912",""
"1995","Finlande","Total","Total","5.098.754",""
"1996","Finlande","Total","Total","5.116.826",""
"1997","Finlande","Total","Total","5.132.320",""
"1998","Finlande","Total","Total","5.147.349",""
"1999","Finlande","Total","Total","5.159.646",""
"2000","Finlande","Total","Total","5.171.302",""
"2001","Finlande","Total","Total","5.181.115",""
"2002","Finlande","Total","Total","5.194.901",""
"2003","Finlande","Total","Total","5.206.295",""
"2004","Finlande","Total","Total","5.219.732",""
"2005","Finlande","Total","Total","5.236.611",""
"2006","Finlande","Total","Total","5.255.580",""
"2007","Finlande","Total","Total","5.276.955",""
"2008","Finlande","Total","Total","5.300.484",""
"2009","Finlande","Total","Total","5.326.314",""
"2010","Finlande","Total","Total","5.351.427",""
"2011","Finlande","Total","Total","5.375.276",""
"2012","Finlande","Total","Total","5.401.267",""
"2013","Finlande","Total","Total","5.426.674",""
"1960","Suède","Total","Total","7.471.345",""
"1961","Suède","Total","Total","7.497.967",""
"1962","Suède","Total","Total","7.542.028",""
"1963","Suède","Total","Total","7.581.148",""
"1964","Suède","Total","Total","7.627.507",""
"1965","Suède","Total","Total","7.695.200",""
"1966","Suède","Total","Total","7.772.506",""
"1967","Suède","Total","Total","7.843.088",""
"1968","Suède","Total","Total","7.892.774",""
"1969","Suède","Total","Total","7.931.772",""
"1970","Suède","Total","Total","8.004.371",""
"1971","Suède","Total","Total","8.081.230",""
"1972","Suède","Total","Total","8.115.438",""
"1973","Suède","Total","Total","8.129.161",""
"1974","Suède","Total","Total","8.143.463",""
"1975","Suède","Total","Total","8.176.447",""
"1976","Suède","Total","Total","8.208.427",""
"1977","Suède","Total","Total","8.236.144",""
"1978","Suède","Total","Total","8.266.936",""
"1979","Suède","Total","Total","8.284.261",""
"1980","Suède","Total","Total","8.303.094",""
"1981","Suède","Total","Total","8.317.967",""
"1982","Suède","Total","Total","8.323.038",""
"1983","Suède","Total","Total","8.327.488",""
"1984","Suède","Total","Total","8.330.577",""
"1985","Suède","Total","Total","8.342.633",""
"1986","Suède","Total","Total","8.358.139",""
"1987","Suède","Total","Total","8.381.519",""
"1988","Suède","Total","Total","8.414.089",""
"1989","Suède","Total","Total","8.458.888",""
"1990","Suède","Total","Total","8.527.039",""
"1991","Suède","Total","Total","8.590.630",""
"1992","Suède","Total","Total","8.644.120",""
"1993","Suède","Total","Total","8.692.013",""
"1994","Suède","Total","Total","8.745.109",""
"1995","Suède","Total","Total","8.816.381",""
"1996","Suède","Total","Total","8.837.496",""
"1997","Suède","Total","Total","8.844.499",""
"1998","Suède","Total","Total","8.847.625",""
"1999","Suède","Total","Total","8.854.322",""
"2000","Suède","Total","Total","8.861.426",""
"2001","Suède","Total","Total","8.882.792",""
"2002","Suède","Total","Total","8.909.128",""
"2003","Suède","Total","Total","8.940.788",""
"2004","Suède","Total","Total","8.975.670",""
"2005","Suède","Total","Total","9.011.392",""
"2006","Suède","Total","Total","9.047.752",""
"2007","Suède","Total","Total","9.113.257",""
"2008","Suède","Total","Total","9.182.927",""
"2009","Suède","Total","Total","9.256.347",""
"2010","Suède","Total","Total","9.340.682",""
"2011","Suède","Total","Total","9.415.570",""
"2012","Suède","Total","Total","9.482.855",""
"2013","Suède","Total","Total","9.555.893",""
"1960","Royaume-Uni","Total","Total","52.200.000",""
"1961","Royaume-Uni","Total","Total","52.600.000",""
"1962","Royaume-Uni","Total","Total","53.000.000",""
"1963","Royaume-Uni","Total","Total","53.500.000",""
"1964","Royaume-Uni","Total","Total","53.800.000",""
"1965","Royaume-Uni","Total","Total","54.200.000",""
"1966","Royaume-Uni","Total","Total","54.496.100",""
"1967","Royaume-Uni","Total","Total","54.800.900",""
"1968","Royaume-Uni","Total","Total","55.086.300",""
"1969","Royaume-Uni","Total","Total","55.337.100",""
"1970","Royaume-Uni","Total","Total","55.546.400",""
"1971","Royaume-Uni","Total","Total","55.780.100",""
"1972","Royaume-Uni","Total","Total","56.012.345",""
"1973","Royaume-Uni","Total","Total","56.159.785",""
"1974","Royaume-Uni","Total","Total","56.229.268",""
"1975","Royaume-Uni","Total","Total","56.230.680",""
"1976","Royaume-Uni","Total","Total","56.220.920",""
"1977","Royaume-Uni","Total","Total","56.203.016",""
"1978","Royaume-Uni","Total","Total","56.183.968",""
"1979","Royaume-Uni","Total","Total","56.209.039",""
"1980","Royaume-Uni","Total","Total","56.284.863",""
"1981","Royaume-Uni","Total","Total","56.343.569",""
"1982","Royaume-Uni","Total","Total","56.324.088",""
"1983","Royaume-Uni","Total","Total","56.303.194",""
"1984","Royaume-Uni","Total","Total","56.362.502",""
"1985","Royaume-Uni","Total","Total","56.481.641",""
"1986","Royaume-Uni","Total","Total","56.618.895",""
"1987","Royaume-Uni","Total","Total","56.743.897",""
"1988","Royaume-Uni","Total","Total","56.860.203",""
"1989","Royaume-Uni","Total","Total","56.996.450",""
"1990","Royaume-Uni","Total","Total","57.156.972",""
"1991","Royaume-Uni","Total","Total","57.338.199",""
"1992","Royaume-Uni","Total","Total","57.511.594",""
"1993","Royaume-Uni","Total","Total","57.649.210",""
"1994","Royaume-Uni","Total","Total","57.788.017",""
"1995","Royaume-Uni","Total","Total","57.943.472",""
"1996","Royaume-Uni","Total","Total","58.094.587",""
"1997","Royaume-Uni","Total","Total","58.239.312",""
"1998","Royaume-Uni","Total","Total","58.394.596",""
"1999","Royaume-Uni","Total","Total","58.579.685",""
"2000","Royaume-Uni","Total","Total","58.785.246",""
"2001","Royaume-Uni","Total","Total","58.999.781",""
"2002","Royaume-Uni","Total","Total","59.239.564","b"
"2003","Royaume-Uni","Total","Total","59.501.394",""
"2004","Royaume-Uni","Total","Total","59.793.759",""
"2005","Royaume-Uni","Total","Total","60.182.050",""
"2006","Royaume-Uni","Total","Total","60.620.361",""
"2007","Royaume-Uni","Total","Total","61.073.279",""
"2008","Royaume-Uni","Total","Total","61.571.647",""
"2009","Royaume-Uni","Total","Total","62.042.343",""
"2010","Royaume-Uni","Total","Total","62.510.197",""
"2011","Royaume-Uni","Total","Total","63.022.532",""
"2012","Royaume-Uni","Total","Total","63.495.303",""
"2013","Royaume-Uni","Total","Total","63.896.071",""
"1960","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","410.489.590",""
"1961","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1962","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1963","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1964","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1965","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","428.639.503",""
"1966","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1967","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1968","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1969","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1970","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","443.961.148",""
"1971","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","445.844.479",""
"1972","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1973","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1974","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total",":",""
"1975","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","456.072.978",""
"1976","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","458.295.324",""
"1977","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","460.277.280",""
"1978","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","462.276.105",""
"1979","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","464.311.858",""
"1980","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","465.978.355",""
"1981","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","468.060.305",""
"1982","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","469.547.151",""
"1983","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","470.745.862",""
"1984","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","471.719.470",""
"1985","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","472.747.436",""
"1986","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","473.877.047",""
"1987","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","475.227.589",""
"1988","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","476.496.180",""
"1989","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","478.166.789",""
"1990","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","479.676.134",""
"1991","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","481.284.342",""
"1992","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","482.386.337",""
"1993","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","484.003.764",""
"1994","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","485.315.931",""
"1995","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","486.305.516",""
"1996","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","487.106.157",""
"1997","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","487.868.578",""
"1998","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","490.202.242","b"
"1999","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","490.936.023",""
"2000","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","491.748.150",""
"2001","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","492.970.361","b"
"2002","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","493.909.420",""
"2003","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","495.689.632",""
"2004","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","497.611.621",""
"2005","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","499.709.139",""
"2006","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","501.608.388",""
"2007","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","503.432.521","b"
"2008","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","505.506.306",""
"2009","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","507.340.353",""
"2010","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","508.591.028",""
"2011","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","510.236.428","b"
"2012","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","511.440.269","b"
"2013","Espace économique européen (EEE) (UE-28 plus IS, LI, NO)","Total","Total","512.572.541","p"
"1960","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","406.362.168",""
"1961","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1962","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1963","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1964","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1965","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","424.373.323",""
"1966","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1967","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1968","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1969","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1970","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","439.557.796",""
"1971","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","441.423.328",""
"1972","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1973","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1974","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total",":",""
"1975","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","451.572.251",""
"1976","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","453.771.888",""
"1977","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","455.728.848",""
"1978","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","457.705.396",""
"1979","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","459.720.398",""
"1980","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","461.380.260",""
"1981","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","463.458.836",""
"1982","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","464.925.603",""
"1983","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","466.098.941",""
"1984","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","467.049.883",""
"1985","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","468.056.453",""
"1986","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","469.165.195",""
"1987","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","470.496.548",""
"1988","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","471.747.730",""
"1989","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","473.404.824",""
