"country","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Austria",100,100.549979219696,101.168138267841,101.820096348527,102.501043271985,103.169191401424,103.895359784458,104.674809178069,105.21975117839,105.583736393655,105.953099372703,106.426966917104,107.047311125203,107.642043555914,107.82541253053,107.539709961165,107.349884832138,107.391104894914,107.304195124,107.121436291449,107.121549806252,107.395077913013,107.472126085432,107.29859033061,107.291836199842,107.342222582947,107.410459168796,107.47845453569,107.630720454332,108.116705703934,108.94370361058,110.036865351153,111.254567019778,112.17579640212,112.608358747642,112.780901247939,112.933280681384,113.061325378973,113.185453815864,113.405885373603,113.678916853103,114.114913021411,114.677719413827,115.237716314872,115.954888649783,116.747548328573,117.326644095194,117.782789141004,118.295563884074,118.697817777241,119.045400103497,119.278332478898,119.616095774709,120.237518373435
"Switzerland",100,101.998319389875,104.617041807101,106.877475563677,108.660209875433,109.922337943781,111.077217785037,112.462078817499,113.8872189356,115.176168445409,116.011218081969,116.621635800111,117.51425111964,118.384981344177,119.02422882725,118.972181341474,118.294081245506,117.893730408288,117.904316337599,118.141317276255,118.611358814766,119.262018079791,119.960895877437,120.476378080595,120.909800562218,121.444727841201,122.078363280189,122.847569937988,123.753755517963,124.758405256027,126.046115986874,127.631358901105,129.046307246838,130.22691990562,131.269183477617,132.149317160636,132.734227293792,133.05435780854,133.450297841878,134.088269007233,134.843905404586,135.699864128471,136.730284222817,137.748485451949,138.698666454448,139.590024225636,140.468787744046,141.729770880323,143.542104501516,145.346892832669,146.868676479172,148.51079060938,150.096108601124,151.684392154625
"Germany",100,100.772825342066,101.662961838854,102.608604832253,103.438083414246,104.324382784293,105.198676369809,105.680754900439,106.151782121516,106.996894866298,107.353424917153,107.550572753653,108.066414978253,108.407298506212,108.449552220768,108.045954880114,107.583681361919,107.340412470525,107.247033230836,107.29445484372,107.517247156832,107.681129823704,107.578759292398,107.297108146822,106.926858376514,106.688154484865,106.736994763434,106.901087552136,107.319544488834,108.152703636206,109.088976294687,109.886707253598,110.725411969254,111.455708927706,111.842971699474,112.172166685665,112.497347383571,112.662066417725,112.679128859615,112.751982080591,112.904787344348,113.094881679436,113.285186136354,113.347921922574,113.323317068347,113.258992321626,113.131311036615,112.980134560372,112.765515025084,112.480147607152,112.307961694653,112.336448996016,110.452425259116,110.721552868987
"France",100,101.385475553996,102.878262276789,104.39357538421,105.817338074621,107.069936256634,108.109991525595,108.964448507349,109.705799800165,110.442591365145,111.250912990639,112.160406123189,113.139572840323,114.130611570977,115.04780071807,115.83272560186,116.46495855589,116.975011383777,117.41692339878,117.868812364113,118.387148590383,118.98870681681,119.656206382328,120.370542305989,121.099412764078,121.818173360166,122.525621457998,123.227948168993,123.916175524097,124.580300848142,125.213946524618,125.530940861788,126.157212084218,126.705710685033,127.178876236531,127.639603828036,128.092594674002,128.546578070033,129.021171350135,129.68635568008,130.577264759686,131.530515844561,132.489846566552,133.431472167621,134.416834283648,135.433233418771,136.380184061657,137.226096109159,137.994683576004,138.70602255584,139.392492046898,140.0794438787,140.793672615529,141.547644085953
"United Kingdom",100,100.763358778626,101.62213740458,102.385496183206,103.053435114504,103.717652671756,104.291030534351,104.854198473282,105.365839694657,105.804866412214,106.227576335878,106.67218129771,107.03447519084,107.241463740458,107.309110687023,107.301145038168,107.274748091603,107.239488549618,107.245236641221,107.341509541985,107.469877862595,107.507307251908,107.468780534351,107.505435114504,107.675709923664,107.920358778626,108.170603053435,108.400858778626,108.641845419847,108.925020992366,109.251118320611,109.589498091603,109.886263358779,110.150026717557,110.430811068702,110.723339694656,111.005629770992,111.291896946565,111.61668129771,111.989438931298,112.39029389313,112.823803435115,113.302440839695,113.831253816794,114.480734732824,115.269477099237,116.119885496183,117.027601145038,117.952280534351,118.84784351145,119.783139312977,120.723125954198,121.556654580153,122.32268129771
"Italy",100,100.670621537579,101.35409175752,102.096227666699,102.939559399757,103.810082530374,104.620147132353,105.380111833338,106.047944509629,106.649940139084,107.215481367419,107.716759263502,108.330019900517,109.067197612735,109.783261652958,110.440901041241,110.993213106851,111.465628280647,111.863503168346,112.187421438774,112.41876545079,112.55381008253,112.637222931611,112.678111622181,112.703299023699,112.735874915587,112.742018378596,112.753524423453,112.808020765064,112.892668681287,112.987209086907,113.065458558517,113.142283718827,113.211475367383,113.234541242278,113.236340057809,113.26816893328,113.328111522579,113.360725263298,113.379795098377,113.431171899434,113.494901363952,113.664039824939,114.170409384917,114.911696683446,115.477749867031,115.825351545926,116.411671782899,117.185423418865,117.720554106897,118.083209660615,118.286461871286,118.605722743363,119.186156490975
